witness_x,witness_y,witness_z,witness_cost,rep_x,rep_y,rep_z,rep_cost
144.525,-34.8772,-14.4896,inf,144.525,-34.8772,-14.4896,59.2969
104.617,-34.3164,-39.764,inf,104.617,-34.3164,-39.764,104.523
53.7071,-10.542,-68.9877,inf,53.7071,-10.542,-68.9877,166.487
92.2596,-30.7702,-46.2712,inf,92.2596,-30.7702,-46.2712,118.823
148.091,-34.5465,-12.3118,inf,148.091,-34.5465,-12.3118,55.542
53.7078,-10.5425,-68.9887,inf,53.7078,-10.5425,-68.9887,166.486
53.7074,-10.547,-68.9918,inf,53.7074,-10.547,-68.9918,166.487
53.7073,-10.5424,-68.9881,inf,53.7073,-10.5424,-68.9881,166.487
53.7078,-10.5424,-68.9886,inf,53.7078,-10.5424,-68.9886,166.486
53.7069,-10.5421,-68.9875,inf,53.7069,-10.5421,-68.9875,166.487
53.7081,-10.5414,-68.9882,inf,53.7081,-10.5414,-68.9882,166.486
53.7081,-10.5425,-68.9889,inf,53.7081,-10.5425,-68.9889,166.486
151.854,-34.0463,-10.4677,inf,151.854,-34.0463,-10.4677,51.7894
53.7084,-10.5408,-68.9879,inf,53.7084,-10.5408,-68.9879,166.486
53.7083,-10.5408,-68.9879,inf,53.7083,-10.5408,-68.9879,166.486
53.707,-10.5409,-68.9867,inf,53.707,-10.5409,-68.9867,166.487
53.7078,-10.5462,-68.9916,inf,53.7078,-10.5462,-68.9916,166.487
53.7069,-10.5402,-68.986,inf,53.7069,-10.5402,-68.986,166.487
53.7075,-10.5421,-68.9882,inf,53.7075,-10.5421,-68.9882,166.487
53.7072,-10.543,-68.9886,inf,53.7072,-10.543,-68.9886,166.487
53.7071,-10.5447,-68.9899,inf,53.7071,-10.5447,-68.9899,166.487
53.7071,-10.5408,-68.9866,inf,53.7071,-10.5408,-68.9866,166.487
53.7069,-10.5455,-68.9902,inf,53.7069,-10.5455,-68.9902,166.487
53.708,-10.5437,-68.9898,inf,53.708,-10.5437,-68.9898,166.486
107.702,-35.1171,-37.8909,inf,107.702,-35.1171,-37.8909,100.877
110.812,-35.7752,-35.9182,inf,110.812,-35.7752,-35.9182,97.1954
53.7064,-10.5492,-68.9925,inf,53.7064,-10.5492,-68.9925,166.488
77.0529,-25.2199,-52.3876,inf,77.0529,-25.2199,-52.3876,135.921
53.7068,-10.5417,-68.9872,inf,53.7068,-10.5417,-68.9872,166.487
53.7072,-10.5402,-68.9863,inf,53.7072,-10.5402,-68.9863,166.487
95.3285,-31.7398,-44.7636,inf,95.3285,-31.7398,-44.7636,115.297
53.7066,-10.5441,-68.9888,inf,53.7066,-10.5441,-68.9888,166.487
53.7079,-10.5413,-68.9878,inf,53.7079,-10.5413,-68.9878,166.486
53.707,-10.5406,-68.9864,inf,53.707,-10.5406,-68.9864,166.487
53.7069,-10.5468,-68.9912,inf,53.7069,-10.5468,-68.9912,166.487
53.7077,-10.5412,-68.9876,inf,53.7077,-10.5412,-68.9876,166.486
113.952,-36.2473,-33.8675,inf,113.952,-36.2473,-33.8675,93.4905
53.7082,-10.5424,-68.9891,inf,53.7082,-10.5424,-68.9891,166.486
53.7082,-10.5433,-68.9897,inf,53.7082,-10.5433,-68.9897,166.486
104.617,-34.3131,-39.7612,inf,104.617,-34.3131,-39.7612,104.523
53.7075,-10.5445,-68.99,inf,53.7075,-10.5445,-68.99,166.487
